FMb,1,2,3,4,5
5,0.16279069767441862,0.3333333333333333,0.3409090909090909,0.4186046511627907,0.45454545454545453
4,0.10091743119266056,0.17543859649122806,0.15306122448979592,0.20588235294117646,0.36666666666666664
3,0.06097560975609756,0.039603960396039604,0.07608695652173914,0.10526315789473684,0.22988505747126436
2,0.013157894736842105,0.09375,0.08450704225352113,0.1774193548387097,0.29333333333333333
1,0.0,0.02247191011235955,0.04081632653061224,0.0392156862745098,0.15730337078651685
