prior_acceptances,responders,n,rate,ci_low,ci_high
0,126,1602,0.07865168539325842,0.06645483248003821,0.09286441875450165
1,89,292,0.3047945205479452,0.2548140133492831,0.35984445793315456
2,38,75,0.5066666666666667,0.3959837845781367,0.6166998975220928
3+,41,50,0.82,0.6920394632569922,0.9022980732976582
