rfm_segment,C1,C2,C3,C4,C5,C6 (pilot)
Core high-value (recent),0.18859649122807018,0.03070175438596491,0.10964912280701754,0.12719298245614036,0.20175438596491227,0.3157894736842105
High-value (cooling),0.15454545454545454,0.022727272727272728,0.07272727272727272,0.11363636363636363,0.17272727272727273,0.2409090909090909
High-value (lapsing),0.14666666666666667,0.022222222222222223,0.07555555555555556,0.16444444444444445,0.19111111111111112,0.1511111111111111
Low-value (cooling),0.0,0.0,0.05701754385964912,0.008771929824561403,0.0,0.04824561403508772
Low-value (lapsing),0.0,0.0,0.04954954954954955,0.013513513513513514,0.0,0.018018018018018018
Low-value (recent),0.0,0.004484304932735426,0.09417040358744394,0.004484304932735426,0.0,0.17040358744394618
Mid-value (cooling),0.02666666666666667,0.0044444444444444444,0.03111111111111111,0.08888888888888889,0.02666666666666667,0.08888888888888889
Mid-value (lapsing),0.035398230088495575,0.017699115044247787,0.07964601769911504,0.07079646017699115,0.022123893805309734,0.061946902654867256
Mid-value (recent),0.04054054054054054,0.013513513513513514,0.07657657657657657,0.08558558558558559,0.036036036036036036,0.21621621621621623
