training_campaigns,train_rows,roc_auc,pr_auc,lift@10%,recall@10%,lift@20%,recall@20%,lift@30%,recall@30%
C5 only,2019,0.7045075421472937,0.4111917742279887,3.433673469387755,0.3435374149659864,2.4647656092139822,0.4931972789115646,1.9491479760220918,0.5850340136054422
C4-C5,4038,0.6661185053731637,0.34856715116553233,2.99171549808042,0.29931972789115646,2.2607850070721356,0.4523809523809524,1.813160907927527,0.54421768707483
C2-C5 (primary),8076,0.7400926747510599,0.41202670721281176,3.229692867245908,0.3231292517006803,2.328778541119418,0.46598639455782315,2.0964672997912035,0.6292517006802721
C2-C5 excl. C3,6057,0.6761116040619146,0.35942677009718865,3.0257122651040613,0.30272108843537415,2.2607850070721356,0.4523809523809524,1.8471576749511682,0.5544217687074829
