held_out_campaign,acceptance_rate,roc_auc,pr_auc,rule_auc_prior_acceptances
C2,0.012877662209014363,0.8793662433903277,0.09093167511080186,0.7004129839052067
C3,0.0718177315502724,0.6512126007433849,0.11606252124935824,0.55042689434365
C4,0.07528479445269935,0.6523517886843514,0.1466000438969217,0.6114562484142868
C5,0.07231302625061913,0.8472416239422508,0.3785858119724969,0.7748667071360137
C6,0.14561664190193166,0.7400926747510599,0.41202670721281176,0.7275796115547667
