outcome,arm,ranking,qini_coefficient,random_mean,random_p2_5,random_p97_5,beats_random_95,total_incremental_in_arm
conversion,Mens,uplift (T-learner),-1.231476601290453,0.5286271232608493,-7.213839675820842,7.062974804734476,False,77.99427391345161
conversion,Mens,response model P(y|email),3.1649683587271893,0.5286271232608493,-7.213839675820842,7.062974804734476,False,77.99427391345161
conversion,Womens,uplift (T-learner),3.232473677099358,-0.7782531936553518,-8.138422184114138,6.031958329918079,False,37.7709565380644
conversion,Womens,response model P(y|email),2.6384028593683855,-0.7782531936553518,-8.138422184114138,6.031958329918079,False,37.7709565380644
visit,Mens,uplift (T-learner),34.78075564515902,1.465909308555531,-31.310930876908174,27.516594526648024,True,805.8940204637192
visit,Mens,response model P(y|email),44.99443219412086,1.465909308555531,-31.310930876908174,27.516594526648024,True,805.8940204637192
visit,Womens,uplift (T-learner),84.45521015666398,1.0128072631191316,-25.115219115697084,27.39768275458062,True,529.7608185487657
visit,Womens,response model P(y|email),51.268316124078034,1.0128072631191316,-25.115219115697084,27.39768275458062,True,529.7608185487657
