decile,mean_predicted,observed_rate,n
0,0.01404511071415978,0.0594059405940594,202
1,0.0249914180508534,0.04950495049504951,202
2,0.035906042652360165,0.0594059405940594,202
3,0.04789452549748124,0.06435643564356436,202
4,0.06488266656476914,0.10891089108910891,202
5,0.0881724796523749,0.06965174129353234,201
6,0.12159807998535747,0.12871287128712872,202
7,0.1768869487314695,0.2376237623762376,202
8,0.29056508854592017,0.2079207920792079,202
9,0.5909396815837314,0.47029702970297027,202
