from_share,to_share,contacts,responses,response_rate,marginal_profit_mu
0.0,0.05002476473501734,101,65,0.6435643564356436,412.0
0.05002476473501734,0.10004952947003468,101,30,0.297029702970297,27.0
0.10004952947003468,0.150074294205052,101,25,0.24752475247524752,-28.0
0.150074294205052,0.20009905894006935,101,17,0.16831683168316833,-116.0
0.20009905894006935,0.2501238236750867,101,29,0.2871287128712871,16.0
0.2501238236750867,0.300148588410104,101,19,0.18811881188118812,-94.0
0.300148588410104,0.3501733531451213,101,10,0.09900990099009901,-193.0
0.3501733531451213,0.4001981178801387,101,16,0.15841584158415842,-127.0
0.4001981178801387,0.45022288261515603,101,9,0.0891089108910891,-204.0
0.45022288261515603,0.5002476473501734,101,5,0.04950495049504951,-248.0
0.5002476473501734,0.549777117384844,100,11,0.11,-179.0
0.549777117384844,0.5998018821198613,101,11,0.10891089108910891,-182.0
0.5998018821198613,0.6498266468548787,101,7,0.06930693069306931,-226.0
0.6498266468548787,0.6998514115898959,101,6,0.0594059405940594,-237.0
0.6998514115898959,0.7498761763249133,101,5,0.04950495049504951,-248.0
0.7498761763249133,0.7999009410599307,101,7,0.06930693069306931,-226.0
0.7999009410599307,0.849925705794948,101,4,0.039603960396039604,-259.0
0.849925705794948,0.8999504705299654,101,6,0.0594059405940594,-237.0
0.8999504705299654,0.9499752352649826,101,5,0.04950495049504951,-248.0
0.9499752352649826,1.0,101,7,0.06930693069306931,-226.0
