tier,customers,responders,response_rate,ci_low,ci_high,profit_mu,above_break_even
P1 - Target,417,168,0.4028776978417266,0.3568953303627748,0.45063313836988556,597.0,True
P2 - Test cell only,161,24,0.14906832298136646,0.10226535352240076,0.21222748821521417,-219.0,False
P3 - Suppress from paid offer,1441,102,0.07078417765440666,0.058652156498028185,0.08519854597997106,-3201.0,False
