contact_share,profit_mean,profit_ci_low,profit_ci_high,p_profit_positive
0.05,429.963,313.0,544.0,1.0
0.1,563.003,395.0,736.0,1.0
0.15,507.69,312.0,719.0,1.0
0.2,572.959,372.0,790.2749999999997,1.0
0.3,317.551,52.0,602.0,0.995
0.5,-532.89,-819.0,-246.72500000000025,0.0
1.0,-2825.552,-3175.0,-2471.0,0.0
