value_decile,customers,min_spend,max_spend,revenue,avg_purchases,avg_aov,prior5_accept_rate,pilot_response,avg_income,revenue_share
1,202,1538,2524,368663,19.797029702970296,104.02080508980065,0.21881188118811884,0.4207920792079208,80172.8391959799,0.30143907245239204
2,202,1173,1536,271966,20.22772277227723,69.53471691630482,0.1297029702970297,0.25742574257425743,72955.35148514851,0.22237430601548638
3,202,915,1173,211183,19.45049504950495,56.98881036322324,0.061386138613861385,0.09900990099009901,68984.825,0.17267479415540346
4,202,636,914,157245,19.08910891089109,42.00203050014136,0.05346534653465347,0.1188118811881188,63205.61809045226,0.12857212941840213
5,201,396,636,100097,15.18407960199005,32.891187618373166,0.046766169154228855,0.12935323383084577,53959.833333333336,0.0818447927653903
6,202,201,396,58787,11.014851485148515,27.1557058214979,0.027722772277227727,0.09405940594059406,47065.855,0.04806747287430193
7,202,91,199,27437,6.915841584158416,21.0126100110011,0.011881188118811881,0.14356435643564355,39656.166666666664,0.022433994816068552
8,202,55,91,14139,5.589108910891089,12.777934936350778,0.01881188118811881,0.12376237623762376,32391.701492537315,0.011560821252483627
9,202,34,55,9109,4.7227722772277225,9.930787364450731,0.01485148514851485,0.034653465346534656,31128.141414141413,0.00744801759593135
10,202,5,34,4384,3.3415841584158414,6.50017006802721,0.012871287128712872,0.034653465346534656,30818.261306532662,0.003584598654140195
