cluster_label,Core high-value (recent),High-value (cooling),High-value (lapsing),Low-value (cooling),Low-value (lapsing),Low-value (recent),Mid-value (cooling),Mid-value (lapsing),Mid-value (recent)
"High-value, full-price",224,215,221,2,6,0,118,121,117
"Low-value, deal-driven",4,5,4,226,216,223,107,105,105
