k,inertia,silhouette,stability_ari_mean,stability_ari_min,min_cluster_share
2,10668.287373387122,0.30127842011186523,0.9826751904154033,0.9491274856367488,0.4928182268449728
3,9251.227285877925,0.21530510241650117,0.9265199654168438,0.4930834511818701,0.3006438831104507
4,8121.495229243223,0.23384728781313158,0.9486530125965693,0.8587748028017324,0.05993065874195146
5,7488.416383022353,0.1933718095475863,0.7926185257436187,0.601140233950393,0.05993065874195146
6,6998.897179808071,0.18757972478546303,0.6632339371173867,0.3780841427427839,0.06042595344229817
7,6543.951501956404,0.18417214581453123,0.6417276941020127,0.40083771396263757,0.05993065874195146
8,6169.429715860197,0.18071283659127985,0.695310373147805,0.5221296857513154,0.05993065874195146
