cluster_label,customers,share_customers_pct,total_spend,share_revenue_pct,avg_spend,median_spend,avg_purchases,avg_recency_days,avg_aov,avg_web_visits,deals_share,catalog_share,prior5_accept_rate,pilot_response_rate,avg_income,avg_children
"High-value, full-price",1024,50.718,1091623,89.257,1066.038,1028.5,18.354,49.604,59.681,3.985,0.122,0.249,0.103,0.192,67987.451,0.61
"Low-value, deal-driven",995,49.282,131387,10.743,132.047,68.0,6.541,48.911,16.322,6.654,0.364,0.077,0.015,0.097,35627.98,1.299
