enrol_quarter,customers,avg_tenure_months,avg_total_spend,avg_spend_per_month,median_spend_per_month,pilot_response,prior5_accept_rate
2012Q3,195,21.97294383233936,834.8974358974359,38.11254731576465,31.83633027522936,0.3230769230769231,0.059487179487179485
2012Q4,241,19.455455531867326,686.2199170124481,35.25329908766094,26.69014492753623,0.21991701244813278,0.05560165975103735
2013Q1,281,16.463984923377648,680.3380782918149,41.45435003975107,32.473098330241186,0.16725978647686832,0.06263345195729537
2013Q2,249,13.48864577891065,643.3815261044176,47.563972328321476,35.22342857142857,0.14859437751004015,0.055421686746987955
2013Q3,273,10.465432508796503,519.6043956043956,50.27110739752397,26.037907692307694,0.09523809523809523,0.05860805860805861
2013Q4,272,7.531571268454819,574.7794117647059,77.83881551846738,43.09955334286673,0.08823529411764706,0.051470588235294115
2014Q1,257,4.367077928386262,491.50194552529183,113.68521734424664,36.031020408163265,0.10116731517509728,0.07237354085603112
2014Q2,251,1.5347283664291584,473.8685258964143,322.88384493907915,90.0,0.07171314741035857,0.06135458167330678
