operating_point,contacts,tp,fp,fn,tn,precision,recall,f1
top 10%,202,95,107,199,1618,0.47029702970297027,0.3231292517006803,0.38306451612903225
top 20%,404,137,267,157,1458,0.33910891089108913,0.46598639455782315,0.39255014326647564
top 30%,606,185,421,109,1304,0.30528052805280526,0.6292517006802721,0.4111111111111111
raw p >= break-even 0.273,140,81,59,213,1666,0.5785714285714286,0.2755102040816326,0.37327188940092165
