strategy,budget_mu,contacts,responses,profit_mu,roi
Prior-acceptance rule,5550.0,1850,283.0,-2437.0,-0.4390990990990991
Prior-acceptance rule,5700.0,1900,286.0,-2554.0,-0.4480701754385965
Prior-acceptance rule,5850.0,1950,288.0,-2682.0,-0.4584615384615385
Prior-acceptance rule,6000.0,2000,291.0,-2799.0,-0.4665
Prior-acceptance rule,6057.0,2019,294.0,-2823.0,-0.46607231302625063
RFM score,0.0,0,0.0,0.0,
RFM score,150.0,50,29.0,169.0,1.1266666666666667
RFM score,300.0,100,49.0,239.0,0.7966666666666666
RFM score,450.0,150,59.0,199.0,0.44222222222222224
RFM score,600.0,200,80.0,280.0,0.4666666666666667
RFM score,750.0,250,93.0,273.0,0.364
RFM score,900.0,300,101.0,211.0,0.23444444444444446
RFM score,1050.0,350,121.0,281.0,0.26761904761904765
RFM score,1200.0,400,133.0,263.0,0.21916666666666668
RFM score,1350.0,450,140.0,190.0,0.14074074074074075
RFM score,1500.0,500,155.0,205.0,0.13666666666666666
RFM score,1650.0,550,167.0,187.0,0.11333333333333333
RFM score,1800.0,600,172.0,92.0,0.051111111111111114
RFM score,1950.0,650,175.0,-25.0,-0.01282051282051282
RFM score,2100.0,700,180.0,-120.0,-0.05714285714285714
RFM score,2250.0,750,191.0,-149.0,-0.06622222222222222
RFM score,2400.0,800,201.0,-189.0,-0.07875
RFM score,2550.0,850,205.0,-295.0,-0.11568627450980393
RFM score,2700.0,900,208.0,-412.0,-0.15259259259259259
RFM score,2850.0,950,212.0,-518.0,-0.18175438596491228
RFM score,3000.0,1000,219.0,-591.0,-0.197
RFM score,3150.0,1050,230.0,-620.0,-0.19682539682539682
RFM score,3300.0,1100,236.0,-704.0,-0.21333333333333335
RFM score,3450.0,1150,242.0,-788.0,-0.2284057971014493
RFM score,3600.0,1200,250.0,-850.0,-0.2361111111111111
RFM score,3750.0,1250,254.0,-956.0,-0.25493333333333335
RFM score,3900.0,1300,261.0,-1029.0,-0.26384615384615384
RFM score,4050.0,1350,268.0,-1102.0,-0.27209876543209877
RFM score,4200.0,1400,272.0,-1208.0,-0.2876190476190476
RFM score,4350.0,1450,273.0,-1347.0,-0.3096551724137931
RFM score,4500.0,1500,276.0,-1464.0,-0.3253333333333333
RFM score,4650.0,1550,282.0,-1548.0,-0.3329032258064516
