channel,usage_tercile,n,purchases_range,avg_total_spend,pilot_response,ci_low,ci_high
Web,low,673,0-2,159.3521545319465,0.06686478454680535,0.050345089478137095,0.08830105519538856
Web,mid,673,2-5,677.3432392273403,0.1649331352154532,0.1388113866590081,0.19485827242805887
Web,high,673,5-27,980.555720653789,0.2050520059435364,0.17626370043950212,0.2371883054531045
Catalog,low,673,0-1,92.63595839524517,0.05646359583952452,0.04141090441272743,0.0765509281260287
Catalog,mid,673,1-3,474.69390787518574,0.13818722139673106,0.11416143760636997,0.16631999027700395
Catalog,high,673,3-28,1249.9212481426448,0.24219910846953938,0.21135396323364333,0.27597058599742597
Store,low,673,0-4,85.87964338781575,0.1025260029717682,0.08181837805975244,0.12774540821869734
Store,mid,673,4-7,644.2317979197622,0.17087667161961367,0.14432648255107947,0.20116278347014158
Store,high,673,7-13,1087.1396731054979,0.16344725111441308,0.13743459995497032,0.1932801573985582
