value_tercile,responders,n,rate,ci_low,ci_high
Low,47,673,0.06983655274888559,0.052922303264841666,0.09163364487576099
Mid,80,673,0.1188707280832095,0.09655650245285416,0.14551120289451916
High,167,673,0.24814264487369986,0.2170002854078794,0.28214387075734393
