k,ARI_vs_selected,response_cramers_v,response_rate_range
3,0.508458481425782,0.1933213507962339,0.15523890715706573
4,0.4643548068104302,0.357800529455576,0.546041055718475
5,0.346530592504393,0.35834528441849867,0.5643414756988164
6,0.335484264116753,0.3690716021586283,0.6100486320374735
