metric,value
Gini coefficient of 2-year spend,0.5404164148652333
revenue share of top 1% customers,0.03720165820393946
revenue share of top 5% customers,0.16362662611098847
revenue share of top 10% customers,0.300181519366154
revenue share of top 20% customers,0.5228542693845513
revenue share of top 50% customers,0.9069050948070744
customers needed for 80% of revenue (share),0.3779098563645369
