feature,std_coef,odds_ratio_per_sd
total_spend,0.35294980937399145,1.4232597073452216
hist_n_prior,0.3462215208467536,1.4137157486433807
category_entropy,-0.27142547158713065,0.7622920937709134
share_gold,0.24574227983102004,1.278570017795942
Income,0.23872643009969421,1.2696311562007676
share_meat,-0.23051726624317037,0.7941227233678093
share_fish,-0.22808719312595438,0.7960548462988262
hist_last,-0.1799224936701103,0.8353349526487202
Teenhome,-0.1734905059823481,0.8407251329832444
share_wines,0.16383973421084547,1.1780255027762023
share_catalog,0.1416568406888132,1.1521811989831818
children,-0.12261172705341958,0.8846070648812386
share_store,-0.1221609359824264,0.8850059277425782
NumWebVisitsMonth,0.1160882454486437,1.1230949757804747
share_sweet,-0.1135809553369579,0.8926319301673693
aov,0.10329353488711626,1.1088168377366356
age,-0.09602078569353806,0.9084451332103252
edu_phd,-0.08750403932596915,0.9162151707516705
tenure_days,-0.078440381763192,0.9245571787573189
deals_share,-0.06864367234602135,0.933659309443511
edu_basic,0.06524574403766929,1.067421304577257
hist_ever,0.04779518654150788,1.0489557930580982
edu_master,-0.045969806856738925,0.9550707983448242
income_missing_flag,-0.031178881203470354,0.9693021676287289
edu_2n_cycle,0.02638155500510374,1.026732628718302
total_purchases,0.02352010375195765,1.023798882738534
Recency,0.015421372421872845,1.015540895397947
share_web,-0.012869312635573057,0.9872131428740256
Complain,0.00881925102456248,1.0088582551970897
partnered,0.007297200714501856,1.0073238901635613
Kidhome,0.005830546808922859,1.0058475775303526
