campaign,auc_recency,auc_spend,auc_web_visits,auc_income
C1,0.529391479759845,0.8805185019813586,0.2764752549454229,0.8830898827131455
C2,0.5276737813115133,0.8147651395268054,0.47587710834073105,0.7683623451310355
C3,0.5385676958745813,0.5462573142457587,0.5764214477606447,0.4845710815883414
C4,0.4772450173371297,0.7613396104079159,0.46832978603444875,0.7389528655597215
C5,0.5032290150589852,0.9220958977246962,0.20418674897059147,0.9360797636200073
C6 (pilot),0.6641447303559106,0.701002661934339,0.5018692694469091,0.63597752144336
