cluster_label,C1,C2,C3,C4,C5,C6 (pilot)
"High-value, full-price",0.12890625,0.0244140625,0.0810546875,0.13671875,0.142578125,0.1923828125
"Low-value, deal-driven",0.0010050251256281408,0.0010050251256281408,0.062311557788944726,0.012060301507537688,0.0,0.09748743718592964
