cluster_label,contacts,responses,response_rate,rr_ci_low,rr_ci_high,cost,revenue,profit,roi,profit_per_contact
"High-value, full-price",1024.0,197.0,0.1923828125,0.16940765033391586,0.21765735410476694,3072.0,2167.0,-905.0,-0.2945963541666667,-0.8837890625
"Low-value, deal-driven",995.0,97.0,0.09748743718592964,0.08057540282221258,0.11749552932980316,2985.0,1067.0,-1918.0,-0.6425460636515913,-1.927638190954774
