share_customers,share_revenue
0.0004952947003467063,0.002063760721498598
0.005448241703813769,0.02115272974055813
0.010401188707280832,0.038934268730427386
0.015354135710747894,0.056049419056262824
0.02030708271421496,0.07278027162492538
0.02526002971768202,0.08897147202394093
0.030212976721149084,0.10477510404657361
0.03516592372461615,0.12037677533298992
0.04011887072808321,0.13558597231420838
0.04507181773155027,0.15044766600436627
0.05002476473501734,0.16508041634982543
0.0549777117384844,0.17941390503757124
0.05993065874195146,0.1935388917506807
0.06488360574541853,0.20746191772757377
0.06983655274888559,0.22120505964791784
0.07478949975235265,0.23480020604901022
0.07974244675581971,0.24820565653592366
0.08469539375928678,0.2614467584075355
0.08964834076275384,0.2745202410446358
0.0946012877662209,0.2874228338280145
0.09955423476968796,0.300181519366154
0.10450718177315503,0.3126981790827548
0.10946012877662209,0.3250496725292516
0.11441307578008915,0.33725317045649666
0.11936602278355622,0.34932666127014494
0.12431896978702328,0.3612284445752692
0.12927191679049035,0.37297078519390686
0.1342248637939574,0.38451034742152557
0.13917781079742447,0.39584386063891547
0.14413075780089152,0.40709233775684583
0.1490837048043586,0.41821489603519185
0.15403665180782566,0.42915102901856894
0.1589895988112927,0.43995143130473174
0.16394254581475978,0.4506038380716429
0.16889549281822686,0.46108780794924
0.1738484398216939,0.471400070318313
0.17880138682516097,0.4815586135845169
0.18375433382862805,0.491590420356334
0.1887072808320951,0.5014930376693567
0.19366022783556217,0.5112558360111528
0.1986131748390292,0.5209335982534894
0.20356612184249628,0.5305075183359089
0.20851906884596336,0.5399898610804491
0.2134720158494304,0.5493945266187521
0.21842496285289748,0.5587035265451632
0.22337790985636455,0.5678841546675825
0.2283308568598316,0.5769372286408124
0.23328380386329867,0.5858987252761629
0.2382367508667657,0.5947637386448189
0.24318969787023278,0.6035093744123106
0.24814264487369986,0.612145444436268
0.2530955918771669,0.6206654074782708
0.258048538880634,0.6290790753959493
0.26300148588410105,0.6373856305345009
0.2679544328875681,0.6455883435131357
0.27290737989103514,0.6536839437126434
0.27786032689450224,0.6616789723714442
0.2828132738979693,0.6695987767884155
0.28776622090143633,0.6774286391771122
0.29271916790490343,0.6851276767974097
0.2976721149083705,0.6927277781866051
0.3026250619118375,0.7002117725938464
0.3075780089153046,0.707604189663208
0.31253095591877167,0.714929559038765
0.3174839029222387,0.7221314625391452
0.3224368499257058,0.7292131707835586
0.32738979692917286,0.7361804073556226
0.3323427439326399,0.7429955601344225
0.337295690936107,0.7496970588956754
0.34224863793957405,0.756295533151814
0.3472015849430411,0.7627999771056655
0.3521545319465082,0.7692177496504525
0.35710747894997524,0.775471173579938
0.3620604259534423,0.7815962257054316
0.36701337295690933,0.7875904530625261
0.37196631996037643,0.7935388917506807
0.3769192669638435,0.7993834882789184
0.3818722139673105,0.8050588302630396
0.3868251609707776,0.8106434125640837
0.39177810797424467,0.8160759110718637
0.3967310549777117,0.8214094733485418
0.4016840019811788,0.826617934440438
0.40663694898464586,0.8316963884187374
0.4115898959881129,0.8366587354150825
0.41654284299158,0.8415205108707206
0.42149578999504705,0.846232655497502
0.4264487369985141,0.8508507698219966
0.4314016840019812,0.8553405123424992
0.43635463100544825,0.8597051536782201
0.4413075780089153,0.8639512350675792
0.4462605250123824,0.8680591327953164
0.45121347201584944,0.8720746355303718
0.4561664190193165,0.8759813901766952
0.4611193660227836,0.8797892085919167
0.46607231302625063,0.883524255729716
0.4710252600297177,0.8871759020776608
0.4759782070331847,0.8907588654221961
0.4809311540366518,0.8942543397028643
0.48588410104011887,0.897656601336048
0.4908370480435859,0.9010073507166745
0.495789995047053,0.9043033172255337
0.5007429420505201,0.9075518597558483
0.5056958890539871,0.9107366252115682
0.5106488360574541,0.9137971071373088
0.5156017830609212,0.9167725529635898
0.5205547300643883,0.9196433389751515
0.5255076770678554,0.9223759413250914
0.5304606240713224,0.9250071544795219
0.5354135710747895,0.9275811317977776
0.5403665180782565,0.9301125910663036
0.5453194650817236,0.9325647378189876
0.5502724120851907,0.9349122247569521
0.5552253590886578,0.9371738579406547
0.5601783060921248,0.9393888848006149
0.5651312530955919,0.9415712054684753
0.5700842000990589,0.9437249082182484
0.575037147102526,0.9458033867261919
0.5799900941059931,0.9477673935617861
0.5849430411094602,0.9496774351804156
0.5898959881129272,0.9515138878668203
0.5948489351163943,0.9532767516210007
0.5998018821198613,0.9549725676813763
0.6047548291233283,0.9565702651654524
0.6097077761267955,0.9581017326105264
0.6146607231302625,0.9595906820058707
0.6196136701337296,0.9610240308746454
0.6245666171371966,0.9624017792168502
0.6295195641406637,0.963719838758473
0.6344725111441307,0.9649733035706985
0.6394254581475978,0.9661670795823419
0.6443784051510649,0.9673052550674156
0.649331352154532,0.9684041831219695
0.654284299157999,0.9694646814008062
0.6592372461614661,0.9704753027366906
0.6641901931649331,0.9714597591188951
0.6691431401684002,0.97239515621295
0.6740960871718673,0.9732700468516202
0.6790490341753344,0.9741097783337831
0.6840019811788014,0.974931521410291
0.6889549281822684,0.9757270995331191
0.6939078751857355,0.9765022362858848
0.6988608221892025,0.9772577493233906
0.7038137691926697,0.9779969092648466
0.7087667161961367,0.9787107219074251
0.7137196631996038,0.9793926460127064
0.7186726102030708,0.9800524934383202
0.7236255572065379,0.9806968054226867
0.7285785042100049,0.9813280349302131
0.733531451213472,0.9819445466512947
0.7384843982169391,0.9825389816927089
0.7434373452204062,0.9831195166024808
0.7483902922238732,0.9836877866902152
0.7533432392273403,0.984245427265517
0.7582961862308073,0.9847924383283865
0.7632491332342743,0.9853288198788236
0.7682020802377415,0.9858537542620257
0.7731550272412085,0.9863688767875978
0.7781079742446756,0.986875822765145
0.7830609212481426,0.9873729568850622
0.7880138682516097,0.9878553732185346
0.7929668152550767,0.988323071765562
0.7979197622585439,0.988786682038577
0.8028727092620109,0.9892372098347519
0.807825656265478,0.9896836493569146
0.812778603268945,0.990123547640657
0.8177315502724121,0.9905536340667697
0.8226844972758791,0.9909690027064374
0.8276374442793462,0.9913729241788701
0.8325903912828133,0.991767033793673
0.8375433382862804,0.9921554198248583
0.8424962852897474,0.9925348116532162
0.8474492322932144,0.9929092975527591
0.8524021792966815,0.9932772422138821
0.8573551263001485,0.9936370103269802
0.8623080733036157,0.9939910548564607
0.8672610203070827,0.9943385581475213
0.8722139673105498,0.9946787025453594
0.8771669143140168,0.9950114880499751
0.8821198613174839,0.9953328263873558
0.8870728083209509,0.9956435352123041
0.8920257553244181,0.9959485204536349
0.8969787023278851,0.9962445114921382
0.9019316493313522,0.9965266023989992
0.9068845963348192,0.9967980637934277
