arm,outcome,n_treated,n_control,control_mean,treated_mean,effect,ci_low,ci_high,p_value,relative_lift,p_holm
Mens,visit,21307,21306,0.10616727682343002,0.18275684047496127,0.07658956365153125,0.06995350121810838,0.08322562608495411,0.0,0.721404616781399,0.0
Mens,conversion,21307,21306,0.005726086548390125,0.01253109306800582,0.006805006519615695,0.005000171380452313,0.008609841658779076,1.5232259897857148e-13,1.188421876286328,9.139355938714289e-13
Mens,spend,21307,21306,0.6527893551112361,1.422616511005773,0.7698271558945368,0.48514912892878365,1.0545051828602898,1.163814968225482e-07,1.1792887703620063,5.819074841127411e-07
Womens,visit,21387,21306,0.10616727682343002,0.151400383410483,0.045233106587052985,0.03889382581264261,0.05157238736146336,0.0,0.4260550702669102,0.0
Womens,conversion,21387,21306,0.005726086548390125,0.008837144059475383,0.003111057511085258,0.0014986778214022348,0.004723437200768281,0.00015710512910671603,0.5433130436982172,0.0006284205164268641
Womens,spend,21387,21306,0.6527893551112361,1.0772015710478329,0.4244122159365967,0.16896450721722805,0.6798599246559653,0.0011293971023632495,0.6501518638646863,0.002258794204726499
Mens minus Womens,visit,21307,21387,0.151400383410483,0.18275684047496127,0.03135645706447826,0.02428507102723248,0.03842784310172404,0.0,0.20710949574984452,0.0
Mens minus Womens,conversion,21307,21387,0.008837144059475383,0.01253109306800582,0.003693949008530437,0.0017435127374671971,0.005644385279593676,0.00020515377465679663,0.4180025790764045,0.0006284205164268641
Mens minus Womens,spend,21307,21387,1.0772015710478329,1.422616511005773,0.34541493995794004,0.032570555562908665,0.6582593243529714,0.03046865118529923,0.32065952115344803,0.03046865118529923
