group,responders,n,rate,ci_low,ci_high
Catalog,12,38,0.3157894736842105,0.1908460367559618,0.4745575989060954
Mixed,165,679,0.24300441826215022,0.212248403142276,0.2766519916832773
No purchases,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
Store,71,1065,0.06666666666666667,0.0531889685073806,0.08325919938237196
Web,46,231,0.19913419913419914,0.15274349932842268,0.25536782523063173
