table,customers,pilot_response_rate,pilot_profit_mu,rule_auc_prior_acceptances,response_rate_if_prior_acceptor,response_rate_if_no_prior
"raw (2,240 incl. duplicates)",2240,0.14910714285714285,-3046,0.7225284478262782,0.4060475161987041,0.08216094541361846
clean (de-duplicated),2019,0.14561664190193166,-2823,0.7275796115547667,0.4028776978417266,0.07865168539325842
