accepted,C1,C2,C3,C4,C5,C6 (pilot)
C1,1.0,0.09022556390977443,0.15789473684210525,0.3308270676691729,0.47368421052631576,0.5488721804511278
C2,0.46153846153846156,1.0,0.23076923076923078,0.7307692307692307,0.5769230769230769,0.7307692307692307
C3,0.14482758620689656,0.041379310344827586,1.0,0.0,0.15172413793103448,0.4689655172413793
C4,0.2894736842105263,0.125,0.0,1.0,0.34868421052631576,0.35526315789473684
C5,0.4315068493150685,0.10273972602739725,0.1506849315068493,0.363013698630137,1.0,0.5684931506849316
C6 (pilot),0.24829931972789115,0.06462585034013606,0.23129251700680273,0.1836734693877551,0.282312925170068,1.0
