rfm_segment,contacts,responses,response_rate,rr_ci_low,rr_ci_high,cost,revenue,profit,roi,profit_per_contact
Core high-value (recent),228.0,72.0,0.3157894736842105,0.2589301669077661,0.37875327233868245,684.0,792.0,108.0,0.15789473684210525,0.47368421052631576
High-value (cooling),220.0,53.0,0.2409090909090909,0.1891582462925665,0.30155272119036736,660.0,583.0,-77.0,-0.11666666666666667,-0.35
Mid-value (recent),222.0,48.0,0.21621621621621623,0.16713729623246,0.27494919816962776,666.0,528.0,-138.0,-0.2072072072072072,-0.6216216216216216
Low-value (recent),223.0,38.0,0.17040358744394618,0.12673957236162342,0.2252307386907511,669.0,418.0,-251.0,-0.375186846038864,-1.1255605381165918
High-value (lapsing),225.0,34.0,0.1511111111111111,0.11019574158457462,0.2037397628949026,675.0,374.0,-301.0,-0.44592592592592595,-1.3377777777777777
Mid-value (cooling),225.0,20.0,0.08888888888888889,0.05827830714577196,0.1333017459032936,675.0,220.0,-455.0,-0.674074074074074,-2.022222222222222
Mid-value (lapsing),226.0,14.0,0.061946902654867256,0.037255550406544685,0.10128106950559462,678.0,154.0,-524.0,-0.7728613569321534,-2.3185840707964602
Low-value (cooling),228.0,11.0,0.04824561403508772,0.02715012851474579,0.08431163916106871,684.0,121.0,-563.0,-0.8230994152046783,-2.469298245614035
Low-value (lapsing),222.0,4.0,0.018018018018018018,0.007028604354170409,0.045404013122391326,666.0,44.0,-622.0,-0.933933933933934,-2.8018018018018016
