campaign,column,acceptors,base,acceptance_rate,ci_low,ci_high,acceptor_avg_spend,acceptor_median_income,acceptor_avg_recency,first_time_acceptors
C1,AcceptedCmp1,133,2019,0.06587419514611194,0.055857181030037104,0.07754005464754797,1482.4962406015038,79734.0,46.51127819548872,133
C2,AcceptedCmp2,26,2019,0.012877662209014363,0.008803124696396533,0.01880233028238831,1323.6153846153845,70896.5,46.57692307692308,14
C3,AcceptedCmp3,145,2019,0.0718177315502724,0.06135030178187691,0.08391143266566707,723.2965517241379,47175.0,45.641379310344824,121
C4,AcceptedCmp4,152,2019,0.07528479445269935,0.06456502614623591,0.08761766591711742,1117.5,67381.0,51.375,98
C5,AcceptedCmp5,146,2019,0.07231302625061913,0.06180909807898798,0.0844413445993859,1600.7876712328766,82333.0,48.917808219178085,51
C6 (pilot),Response,294,2019,0.14561664190193166,0.13090401289510367,0.16167524794609672,1001.578231292517,64509.0,35.17006802721088,126
