comparison,metric,mean_diff,ci_low,ci_high
diff_vs_B1,roc_auc_diff,0.01219097901578778,-0.012092489063601249,0.03544754559451012
diff_vs_B1,pr_auc_diff,0.016644452147537854,-0.01298881986934217,0.04304182886486898
diff_vs_B2,roc_auc_diff,0.017324808140200834,-0.013095153234839955,0.05022812173145679
diff_vs_B2,pr_auc_diff,0.12919866082443943,0.07588802390197517,0.18265845911031323
diff_gb_vs_lr,roc_auc_diff,0.025778023497408813,0.01253183951421218,0.040528112293347573
diff_gb_vs_lr,pr_auc_diff,-0.003371600898587293,-0.03530946622631371,0.027900292907549105
