policy,spend_per_customer,conversion_rate,emails_per_customer,incremental_spend_per_customer,incremental_spend_per_email,inc_spend_ci_low,inc_spend_ci_high
No e-mail,0.5938618229606683,0.005726086548390124,0.0,0.0,,0.0,0.0
E-mail all: Mens,1.481365684250047,0.013046743007321195,1.0,0.8875038612893789,0.8875038612893789,0.5280556023860092,1.2773673487060877
E-mail all: Womens,1.1968792668100627,0.009258393341438324,1.0,0.6030174438493945,0.6030174438493945,0.23087581821640335,1.022186256614957
Segment rule (buyer type x history),1.3489608921824716,0.011437176950740922,0.87690625,0.7550990692218034,0.8610944091478461,0.4128505275096924,1.1421648941272424
Uplift model: best arm per customer,1.4821300552364223,0.011814588699610626,0.9415625,0.888268232275754,0.943398056184007,0.5502023042476873,1.2891267508607933
