feature,std_coef,odds_ratio_per_sd
hist_n_prior,0.4790511812054757,1.614541767637959
total_spend,0.3238956036676096,1.3825029713458206
share_gold,0.2401150964779641,1.27139547504179
Teenhome,-0.2122376056869446,0.8087725057876546
share_fish,-0.2063295656556804,0.8135649090433045
Recency,-0.1817522537693982,0.8338078875902334
Income,0.17990805994761797,1.1971072959546
share_store,-0.17891162759612272,0.8361797913502179
category_entropy,-0.14746913163153327,0.8628890738881537
share_catalog,0.1427685920113954,1.1534628502617488
hist_last,-0.14267025039344508,0.8670399278370337
NumWebVisitsMonth,0.14261271832031885,1.1532830697616478
partnered,-0.1307244360251556,0.8774595373168055
children,-0.13034093436230967,0.8777961090422296
tenure_days,0.11029062495604124,1.1166025358706175
share_meat,-0.09081232951511738,0.9131890734551207
aov,0.07801896198084068,1.081143159091587
hist_ever,0.07128455057047114,1.073886757486162
share_sweet,-0.05981501707257379,0.9419387600585821
share_web,0.05602873961659776,1.0576280791253303
share_wines,0.05386297814571938,1.0553399876056313
income_missing_flag,-0.051639901985614814,0.9496707798402393
deals_share,0.04404364332853393,1.0450279623918948
Kidhome,0.03448768089082427,1.0350892769197622
age,-0.03388033443071851,0.9666871768877152
edu_phd,0.03345885482973864,1.034024897720532
edu_basic,-0.021174509628284485,0.9790480963414525
total_purchases,-0.01794697727592312,0.9822131105923713
edu_2n_cycle,-0.011485838806909966,0.9885798716192358
edu_master,0.006522527647334853,1.0065438456546838
Complain,0.004303757123462938,1.0043130315863906
