category,revenue,share,pct_customers_buying
Wines,611512,0.5000057235836175,0.9940564635958395
MeatProducts,338946,0.2771408246866338,0.9995047052996533
GoldProds,88143,0.07207054725635931,0.9717682020802377
FishProducts,75905,0.0620640877834196,0.826151560178306
SweetProducts,55042,0.04500535563895634,0.8147597820703318
Fruits,53462,0.04371346105101348,0.8266468548786527
